SECCIÓN;CÓDIGO DA TIPOLOXÍA DE ENTIDADE;TIPOLOXÍA DA ENTIDADE;NÚMERO DE REXISTRO;NOME;ENDEREZO;CAPITAL OU SEDE DA ENTIDADE;CÓDIGO POSTAL;CÓDIGO INE DA PROVINCIA;PROVINCIA;CÓDIGO INE DO CONCELLO;CONCELLO;DATA DE INSCRICIÓN NO REXISTRO;SUPERFICIE
Entidade local territorial;MU;Municipio;2000/031;PAZOS DE BORBÉN;C/ PAZOS, 1;PAZOS;36000;36;PONTEVEDRA;36037;PAZOS DE BORBÉN;23/05/2000;50,00;
Entidade local territorial;MU;Municipio;2000/032;CULLEREDO;TARRIO, S/N;TARRÍO-CULLEREDO;15189;15;A CORUÑA;15031;CULLEREDO;23/05/2000;62,34;
Entidade local territorial;MU;Municipio;2000/033;MUÍÑOS;PRAZA SAN ROSENDO, 1;MURGUEIMES;32880;32;OURENSE;32051;MUÍÑOS;23/05/2000;110,00;
Entidade local territorial;MU;Municipio;2000/034;AMOEIRO;CTRA.TAMALLANCOS-BARBANTES;AMOEIRO;32170;32;OURENSE;32002;AMOEIRO;23/05/2000;39,70;
Entidade local territorial;MU;Municipio;2000/035;SOBRADO;PLAZA DO PORTAL, 1;SOBRADO (PORTA);15813;15;A CORUÑA;15080;SOBRADO;23/05/2000;123,00;
Entidade local territorial;MU;Municipio;2000/036;ARES;PRAZA CONSTITUCIÓN, S/N;ARES;15624;15;A CORUÑA;15004;ARES;23/05/2000;18,30;
Entidade local territorial;MU;Municipio;2000/037;LAXE;AVDA. CESAREO PONDAL, 26;LAXE;15117;15;A CORUÑA;15040;LAXE;23/05/2000;36,90;
Entidade local territorial;MU;Municipio;2000/038;SILLEDA;RUA XENERAL FRANCO, 55;SILLEDA;36540;36;PONTEVEDRA;36052;SILLEDA;24/05/2000;167,96;
Entidade local territorial;MU;Municipio;2000/039;RIBEIRA;PRAZA DO CONCELLO, S/N;SANTA UXÍA;15960;15;A CORUÑA;15073;RIBEIRA;24/05/2000;68,83;
Entidade local territorial;MU;Municipio;2000/040;MEAÑO;AS COVAS, Nº 20;AS COVAS;36968;36;PONTEVEDRA;36027;MEAÑO;24/05/2000;28,00;
Entidade local territorial;MU;Municipio;2000/041;LÁNCARA;ROSALIA DE CASTRO S/N;POBRA DE SAN XIAO;27360;27;LUGO;27026;LÁNCARA;24/05/2000;121,00;
Entidade local territorial;MU;Municipio;2000/042;RIOTORTO;RÚA RODRIGAS, S/N.;AS RODRIGAS;27744;27;LUGO;27054;RIOTORTO;24/05/2000;67,00;
Entidade local territorial;MU;Municipio;2000/043;PONTEAREAS;JARDINES JOSE ANTONIO;PONTEAREAS;36860;36;PONTEVEDRA;36042;PONTEAREAS;25/05/2000;125,52;
Entidade local territorial;MU;Municipio;2000/044;SAMOS;PRAZA DE ESPAÑA, S/N;SAMOS;27620;27;LUGO;27055;SAMOS;25/05/2000;136,00;
Entidade local territorial;MU;Municipio;2000/045;MELÓN;CALVO SOTELO, 1;MELÓN;32411;32;OURENSE;32046;MELÓN;25/05/2000;52,50;
Entidade local territorial;MU;Municipio;2000/046;LAZA;RÚA CASTIÑEIRO, 4;LAZA;32620;32;OURENSE;32039;LAZA;25/05/2000;215,91;
Entidade local territorial;MU;Municipio;2000/047;BECERREÁ;PRAZA DO CONCELLO, 2;BECERREÁ;27640;27;LUGO;27006;BECERREÁ;25/05/2000;172,05;
Entidade local territorial;MU;Municipio;2000/048;CALVOS DE RANDÍN;RUA EIRO, 1;CALVOS;32644;32;OURENSE;32016;CALVOS DE RANDÍN;25/05/2000;97,70;
Entidade local territorial;MU;Municipio;2000/049;LOURENZÁ;PRAZA DO CONDE SANTO, S/N;VILANOVA;27760;27;LUGO;27027;LOURENZÁ;25/05/2000;62,63;
Entidade local territorial;MU;Municipio;2000/050;PONTENOVA, A;AVDA. GENERALISIMO, S/N;A PONTENOVA;27720;27;LUGO;27048;PONTENOVA, A;25/05/2000;135,77;
Entidade local territorial;MU;Municipio;2000/051;PARADELA;AVDA. GENERALÍSIMO, S/N;PARADELA (SAN MIGUEL);27611;27;LUGO;27042;PARADELA;25/05/2000;120,19;
Entidade local territorial;MU;Municipio;2000/052;CONCELLO DE PONTEVEDRA;PLAZA DE ESPAÑA S/N;PONTEVEDRA;36001;36;PONTEVEDRA;36038;PONTEVEDRA;25/05/2000;118,28;
Entidade local territorial;MU;Municipio;2000/053;PORTO DO SON;RÚA DA ATALAIA, S/N;PORTO DO SON;15970;15;A CORUÑA;15071;PORTO DO SON;25/05/2000;97,00;
Entidade local territorial;MU;Municipio;2000/054;CARBALLIÑO, O;PRAZA MAIOR, 1;O CARBALLIÑO;32500;32;OURENSE;32019;CARBALLIÑO, O;25/05/2000;54,38;
